,0
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Georgia
5,Hawaii
6,Idaho
7,Illinois
8,Indiana
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Missouri
17,Montana
18,Nevada
19,New Hampshire
20,New Jersey
21,New Mexico
22,North Carolina
23,North Dakota
24,Oklahoma
25,Pennsylvania
26,Rhode Island
27,South Carolina
28,South Dakota
29,Tennessee
30,Texas
31,Vermont
32,Virginia
33,West Virginia
34,Wisconsin
35,Wyoming
